ONLINE,,,,,,,,,,,,
Dataset,Strategy,Treino Inicial,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries/s,Query Rate,Number of Drifts
emotions,QBC,5%,10%,0.25916075650118203,0.17198581560283688,0.6543248467450595,48.07432985305786,0.09765625,56,1.164862831601968,0.09929078014184398,0
emotions,NoQuery,10%,0%,0.26747815230961297,0.17790262172284643,0.6567722435699964,6.586613893508911,0,0,0.0,0.0,0
emotions,FullSupervision,10%,100%,0.21847690387016228,0.22846441947565543,0.680479419664813,69.88782382011414,0.0234375,534,7.640815964945121,1.0,0
emotions,Random,10%,10%,0.2565543071161049,0.1704119850187266,0.6545495079202944,10.46305537223816,0,53,5.06544198749306,0.09925093632958802,0
emotions,Uncertainty,10%,10%,0.25749063670411987,0.21348314606741572,0.672680861585356,14.648921966552734,0,53,3.6180136750685588,0.09925093632958802,0
emotions,QBC,10%,10%,0.24531835205992503,0.18352059925093633,0.6573048570239581,44.153096199035645,361.28125,53,1.2003688203672924,0.09925093632958802,0
emotions,NoQuery,20%,0%,0.2543859649122807,0.17684210526315788,0.6619547353231564,4.139881134033203,0,0,0.0,0.0,0
emotions,FullSupervision,20%,100%,0.2168421052631579,0.23157894736842105,0.6814935064935065,51.00946116447449,0.09375,475,9.311997993243134,1.0,0
emotions,Random,20%,10%,0.25263157894736843,0.1831578947368421,0.6570645553277131,9.492106676101685,0,46,4.846131798730664,0.0968421052631579,0
emotions,Uncertainty,20%,10%,0.2550877192982456,0.14947368421052631,0.6325547960811118,11.826065301895142,0,47,3.9742719831310414,0.09894736842105263,0
emotions,QBC,20%,10%,0.24596491228070172,0.1726315789473684,0.6463420672894357,43.275248765945435,494.2265625,47,1.0860711686303623,0.09894736842105263,0
emotions,NoQuery,30%,0%,0.25841346153846156,0.13701923076923078,0.6323673722111223,2.9000163078308105,0,0,0.0,0.0,0
emotions,FullSupervision,30%,100%,0.21834935897435898,0.23076923076923078,0.6804037108724609,45.51953959465027,0.13671875,416,9.1389325046884,1.0,0
emotions,Random,30%,10%,0.25320512820512825,0.14903846153846154,0.6296932234432234,9.153585195541382,0,37,4.042132040025401,0.0889423076923077,0
emotions,Uncertainty,30%,10%,0.2556089743589744,0.1466346153846154,0.6222923777611277,10.492011308670044,0,41,3.907735017986472,0.0985576923076923,0
